"Year","Page","Score","Confidence","Stage","SDGs","Summary"
2023,8,2,0.8,"mention_only","SDG 8, SDG 12, SDG 13","The company states its policies are based on NGRBC and various international standards, including the UN Sustainable Development Goals."
2023,4,2,0.8,"mention_only","SDG 12","The company states adherence to government regulations and mine closure plans."
2023,29,2,0.8,"mention_only","SDG 15","JSW Steel prioritizes biodiversity and aligns with national biodiversity targets."
2023,8,2,0.8,"mention_only","SDG 13","The company has a policy specifically addressing climate change."
2023,21,2,0.8,"mention_only","SDG 16","The company states its commitment to fulfilling human rights by adhering to national, local, and international norms."
2023,31,2,0.8,"mention_only","SDG 9","JSW Steel collaborates with industry associations to influence policies related to the Indian steel sector."
2024,129,2,0.8,"mention_only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","The company states its sustainability framework aligns with various international standards, including the UNSDGs."
2024,129,1,0.8,"mention_only","SDG 13","The company's CO2 reduction target aligns with the global sustainable development scenario."
2024,47,2,0.8,"mention_only","SDG 13","The company states its commitment to environmental protection through innovation and sustainable practices."
2024,32,2,0.8,"mention_only","SDG 13","The company acknowledges the increasing pressure for climate action and potential impact on its operations."
2024,12,2,0.8,"mention_only","SDG 12, SDG 13, SDG 17","The company states its commitment to integrating sustainable practices into its operations."
2024,129,2,0.8,"mention_only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","The company states that its policies are based on NGRBC and various international standards, including the UN Sustainable Development Goals."
2025,53,1,0.8,"mention_only","SDG 6","The company states its initiatives aim to provide sustainable water access and improve community health."
2025,51,2,0.8,"mention_only","SDG 12","JSW Steel has been recognized for its sustainability performance by being included in the DJSI World and Emerging Markets Indices."
2025,155,2,0.8,"mention_only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","The company states its policies are based on various international standards and frameworks, including the UN Sustainable Development Goals."
