"Year","Page","Section","Score","Strength","Stage","SDGs","Tags","Quant","Oversight","Summary","Text"
2019,82,"RESEARCH AND DEVELOPMENT",5,"moderate","In progress","SDG 17","initiative, policy","","","Coromandel implements social initiatives through its in-house team and partnerships with external NGOs.","Coromandel largely drives its initiatives towards the society through its in-house team. As required, the Company also partners with external NGOs like AMM Foundation, Murugappa Chettiar Research Centre, Federation of Farmers Association, and Hrudaya – Cure A Little Heart Foundation."
2019,82,"RESEARCH AND DEVELOPMENT",5,"moderate","In progress","SDG 3, SDG 4, SDG 10","policy","✓","","Coromandel allocates 2% of its average net profit to CSR activities in education, health, and community development.","Coromandel has spent around 2% of its average net profit for the previous 3 years on CSR activities across locations in the areas of Education, Health and Community development."
2019,82,"RESEARCH AND DEVELOPMENT",5,"moderate","In progress","SDG 3, SDG 4, SDG 8, SDG 13","initiative, policy","","","Coromandel implements CSR programs focused on health, education, community development, and environmental improvement.","Coromandel, in line with its CSR Policy, has been focusing on upliftment of the society by implementing the programs related to health, education and community development, research and development projects on environment improvement to make a meaningful impact on their lives."
2019,82,"RESEARCH AND DEVELOPMENT",5,"moderate","In progress","SDG 15","initiative","✓","","The company has developed a green cover of 20,000 plants across 22 acres of land in Visakhapatnam.","• Visakhapatnam Unit has developed green cover in 22 acers (20,000 plants) of land with the help of District Forest Officer & VUDA through ‘Green Visakha’ initiative"
2019,82,"RESEARCH AND DEVELOPMENT",5,"moderate","In progress","SDG 12, SDG 13, SDG 15","policy, initiative","","","The company aims to minimize its environmental impact through sustainable practices and an environmental management system.","Coromandel continually strives to minimise the environmental impact of its operations through sustainable practices and responsible use of natural resources through effective implementation of integrated Environment, Quality, Occupational Health & Safety (EQOHS) Policy and ISO 14001:2015 - Environment Management System (EMS)."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",5,"moderate","In progress","SDG 2, SDG 15","policy, initiative","","","Coromandel entered the organic business to address soil health concerns and has become a leader in the field.","Organic Manure Performance Coromandel forayed into the Organic business with a view to addressing the soil health issue, and over the years has gained the leadership position."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",5,"moderate","In progress","SDG 11, SDG 12","initiative, target","","","Coromandel's Bio Mining plant converts waste into compost, contributing to waste management and sanitation.","Its Bio Mining plant at Vishakhapatnam has been stabilised and is promoting the ‘Swachh Bharat’ campaign by converting the municipal waste into city compost manure."
2019,22,"20 Annual Report 2018-19 Coromandel International Limited",5,"moderate","In progress","SDG 1, SDG 2","policy, initiative","","","The company states that government initiatives are expected to support farm income.","Further, initiatives like increasing Minimum Support Price (MSP) of crops to 1.5 times the cost of production, direct income support and direct benefit transfer introduced during the year, are expected to lend support to the farm income."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",5,"moderate","In progress","SDG 4","initiative, target","","","Coromandel supports government schools with programs to improve education quality and reduce dropout rates.","The organisation has continued its focus of supporting and strengthening the government schools by implementing programs to improve the quality of education and decrease the dropout rate."
2019,82,"RESEARCH AND DEVELOPMENT",5,"moderate","In progress","SDG 2, SDG 12, SDG 13","initiative, target","","","Coromandel's R&D program aims to develop products with high Nutrient Use Efficiency (NUE) to benefit farmers and minimize environmental impact.","Coromandel is having an active R&D program to develop products with high Nutrient Use Efficiency (NUE) which offer the twin advantages of providing higher value to the farmer and protecting the environment and also during the life-cycle of the product the nutrient uptake by the plant is maximised and losses to the environment are minimised."
2019,82,"RESEARCH AND DEVELOPMENT",5,"moderate","In progress","SDG 6, SDG 12","policy, initiative","","","Other fertilizer and SSP units have zero process effluent discharge and recycle process liquids.","All other Fertilizer and Single Super Phosphate (SSP) units are zero process effluent discharge units and all process liquids are recycled back into the fertilizer manufacturing process."
2019,82,"RESEARCH AND DEVELOPMENT",5,"moderate","In progress","SDG 3","initiative","✓","","The company contributed 80.00 lakhs towards the running expenses of AMM Arunachalam Hospital Health Cuddalore.","Contribution towards meeting running expenses of AMM Arunachalam Hospital Health Cuddalore, Tamil Nadu 80.00 80.00 80.00 Implementing agency 18"
2019,82,"RESEARCH AND DEVELOPMENT",5,"moderate","In progress","SDG 6","initiative","✓","","The company provided 20.00 lakhs for safe drinking water in schools and communities in Andhra Pradesh.","Provision of safe drinking water in schools and communities Health Prakasam, Nellore, Kurnool and East Godavari in Andhra Pradesh 20.00 20.00 20.00 Implementing agency 19"
2019,82,"RESEARCH AND DEVELOPMENT",5,"moderate","In progress","SDG 13, SDG 15","initiative","✓","","The company contributed 50.00 lakhs to increase green cover in Visakhapatnam.","Contribution to increasing green cover in Visakhapatnam Environment Sustainability Vishakhapatnam in Andhra Pradesh 50.00 - - Directly and implementing agency 20"
2019,82,"RESEARCH AND DEVELOPMENT",5,"moderate","In progress","SDG 3","initiative","✓","","The company implemented a mobile healthcare program in Valsad, Gujarat, with a budget of 33.00 lakhs.","Mobile health care program Health Valsad in Gujarat 33.00 33.00 33.00 Implementing agency 21"
2019,82,"RESEARCH AND DEVELOPMENT",5,"moderate","In progress","SDG 6","initiative","✓","","The company conducted studies on water-related eco sanitation and safe drinking water in various Tamil Nadu districts with a budget of 57.00 lakhs.","Studies on Water related – Eco Sanitation and Safe Drinking Water Health Kancheepuram, Villupuram, Sivaganga, Karur, Dindigul and Coimbatore in Tamil Nadu 57.00 57.00 57.00 Implementing agency 22"
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",5,"moderate","In progress","SDG 1, SDG 8, SDG 9","initiative","✓","","Coromandel operates a network of rural retail outlets across India.","Coromandel has successfully pioneered the rural retail model in India and operates a network of around 800 rural retail outlets across Andhra Pradesh, Telangana, Karnataka, and Maharashtra."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",5,"moderate","In progress","SDG 1, SDG 2, SDG 8","initiative","✓","","Coromandel's retail centers serve 3 million farmers with agricultural solutions.","These Centers have established relations with around 3 million farmers, offering agri solutions including its own manufactured as well as traded products."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",5,"moderate","In progress","SDG 2, SDG 9","initiative","✓","","Coromandel operates 16 manufacturing facilities producing agricultural products.","The Company has 16 manufacturing facilities, producing a wide range of Nutrient and Crop Protection products which are marketed through an extensive network of dealers and its own retail centers."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",5,"moderate","In progress","SDG 3","policy, kpi","","","The company has implemented robust processes and safety indicators to monitor its performance.","Company has put in robust processes and safety performance indicators to track its SHE performance."
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 12","initiative","","","Coromandel provided technical support for processing municipal waste into organic manure in Vizag.","• Bio-mining in Vizag: Coromandel has provided the technical support to process municipal waste in to organic manure"
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 6","initiative","","","The company aims to achieve zero effluent discharge from its formulation sites.","• Zero effluent discharge from formulation sites"
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 13","initiative","","","The company has implemented a system to monitor emissions from its manufacturing sites.","• On line process stack emission monitoring system activation at technical manufacturing sites to get early warning in case any abnormal emission from process stacks"
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 15","initiative","","","The company has implemented vertical gardening at its Ennore plant to increase greenery.","• Ennore Plant has adopted vertical gardening method to improve greenery inside the plant"
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 8, SDG 1","initiative","","","The company implements initiatives to improve employability and livelihoods.","Various initiatives in this direction include skill development for employability, livelihood through establishment of glove making units, providing health care through Coromandel Medical Centers and mobile medical vans."
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 12","initiative","","","Coromandel describes City Compost as a product that recycles nutrients and carbon in organic waste.","Organic Fertilisers - City Compost : Recycling of nutrients and carbon in organic waste"
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 2, SDG 15","initiative","","","Coromandel states that Sulphur Enhanced Fertilisers maximize sulphur availability to crops and minimize leaching losses.","Sulphur Enhanced Fertilisers: Maximising the availability of Sulphur to the crop and minimising leaching losses of Sulphur"
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 2, SDG 3","initiative","","","Coromandel describes Zinc Fortified Fertilisers as improving both crop productivity and human health.","Zinc Fortified Fertilisers – Improving crop productivity and human health"
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 3, SDG 12, SDG 14, SDG 15","initiative","","","Coromandel acquired a Bio-Pesticides unit to produce sustainable and environmentally friendly products.","Bio-Pesticides: Coromandel acquired Bio-Pesticides unit towards producing and delivering sustainable and environment friendly products"
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 2, SDG 12, SDG 15","initiative","","","Coromandel promotes organic fertilisers to sustain soil health, improve productivity, and enrich organic carbon content.","Coromandel has been a leader in promoting organic fertilisers (Municipal compost, sugarcane filter-cake compost, oilseed cakes) to farmers for sustaining the soil health and improving productivity, by sustaining nutrient availability to crops and enriching organic carbon content of soil."
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 9","initiative","","","Coromandel has established R&D centers focused on fertilizer and crop protection products.","Coromandel has its own Fertiliser Technology Centre, FTC, at Vizag, recognised by Department of Scientific & Industrial Research (DSIR) of Ministry of Science & Technology and a R&D center at Hyderabad for Crop Protection Products."
2019,2,"Management Reports Financial Statements",4,"moderate","In progress","SDG 2, SDG 12, SDG 13","initiative","","","The company states its commitment to providing Integrated Crop Management (ICM) solutions to improve farming practices.","As a leading Agri solutions provider, we, at Coromandel, are combining local knowledge with new research and technologies to deliver Integrated Crop Management (ICM) solutions to improve farming practices."
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 8, SDG 3","policy, aspiration","","","Coromandel prioritizes employee training and well-being as part of its organizational strategy.","Coromandel continues to emphasise employee training and capability building by placing employee well-being at the forefront, as a key enabler in the organisational strategy"
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 4","initiative","","","The company provides equal access to learning opportunities for all employees.","Coromandel ensures continuous skill and competence upgrading of all its employees by providing access to necessary learning opportunities on an equal and non-discriminatory basis."
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 4","policy","","","The company's learning and development process focuses on building employee capabilities relevant to the organization's needs.","The learning & development process of Coromandel aims to build employee capabilities in line with the current and future core competency requirements of the organisation."
2019,82,"RESEARCH AND DEVELOPMENT",4,"moderate","In progress","SDG 3, SDG 4, SDG 5","initiative","","","The company provides training and counseling to employee family members on various topics, including home safety, child education, and family health.","Also, Coromandel encourages and provides training and counseling to employee family members in various areas viz., home safety, home 5S, child education and family health."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",4,"moderate","In progress","SDG 2, SDG 9","initiative","","","Coromandel invests in R&D for agricultural product development and process improvement.","Its R&D facilities located at Vishakhapatnam (for Agri nutrients), Hyderabad and Thiyagavalli (for Crop Protection) have been supporting the businesses in product development and process improvement initiatives."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",4,"moderate","In progress","SDG 2, SDG 9","initiative","","","Coromandel collaborates with research institutions to develop advanced agricultural solutions.","The Company has partnerships with leading research, technology and agriculture institutions for developing technologically superior agri solutions for the farming community."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",4,"moderate","In progress","SDG 3","initiative","","","The company encourages employees to report safety concerns, which are then monitored and addressed.","Employees are encouraged to raise ‘near-miss’ safety concerns and these inputs are periodically monitored and closed."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",4,"moderate","In progress","SDG 3","initiative","","","The company values its workforce and provides them with necessary training in safety, health, and environment.","The workforce are valued as the crucial resource for sustaining safety and have been imparted need based training in SHE, by engaging both internal and external expertise."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",4,"moderate","Planned","SDG 2, SDG 12, SDG 1","initiative, policy","","","The company mentions initiatives related to organic fertilizer, irrigation projects, and agricultural reforms.","organic fertiliser • Irrigation projects in Coromandel’s key operating markets of Telangana and Andhra to increase the area under assured irrigation • Likely reforms in Tenancy, Contract farming, Pesticide management, etc to bring structural improvement in the Indian agriculture"
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",4,"moderate","In progress","SDG 9","initiative","","","The company describes a system for direct fertilizer distribution to enhance traceability and data-driven operational improvements.","Direct benefit transfer in fertiliser to improve product traceability across the channel and provide opportunities to leverage data generated for operational improvements"
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",4,"moderate","In progress","SDG 2, SDG 9","initiative","","","The company emphasizes the adoption of agricultural technologies to enhance crop yields and product efficiency.","Adoption of agri technologies to improve crop yield and improve product efficiency"
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",3,"moderate","Mention only","SDG 15","aspiration, target","✓","","The organic manure segment has growth potential due to widespread soil degradation in India.","With about 70 percent of the Indian soils deficient in organic carbon, the segment offers significant growth opportunities."
2019,22,"20 Annual Report 2018-19 Coromandel International Limited",3,"moderate","Planned","SDG 2","policy, aspiration","","","The company expects India's agriculture growth to expand due to government reforms.","With the structural reforms pursued by the Government towards improving agriculture infrastructure like irrigation projects, cold chains and national agriculture markets, we expect India’s agriculture growth trajectory to expand considerably in coming years."
2019,24,"22 Annual Report 2018-19 Coromandel International Limited",3,"moderate","Planned","SDG 1, SDG 2, SDG 8","policy, aspiration","","","The company mentions government reforms aimed at improving farming prospects, including doubling farmers' income and irrigation infrastructure development.","The Government-backed reforms like doubling the farmer’s income, irrigation infrastructure development, crop insurance, remunerative returns, and income support are getting stabilized, and are likely to improve farming prospects in the coming years."
2019,24,"22 Annual Report 2018-19 Coromandel International Limited",3,"moderate","Mention only","SDG 2","target, aspiration","✓","","The company highlights the issue of soil nutrient deficiency in India, presenting an opportunity for improvement through agricultural solutions.","With 40%-50% of the Indian soils deficient in essential plant nutrients including secondary and micro nutrients, there is a significant opportunity to improve farm health through superior solutions and delivery mechanisms."
2019,82,"RESEARCH AND DEVELOPMENT",2,"weak","Mention only","SDG 8, SDG 10","aspiration, policy","","","Coromandel emphasizes inclusive growth and has identified various stakeholders, including farmers, employees, and society.","Coromandel strongly believes in inclusive growth. In line with the philosophy and mission, Coromandel has mapped all its stakeholders that include farmers/customers, employees, shareholders, Government, society, suppliers and business alliances, society."
2019,82,"RESEARCH AND DEVELOPMENT",2,"weak","Mention only","SDG 1, SDG 2, SDG 8, SDG 10","aspiration, initiative","","","Coromandel actively works towards community development and farmer prosperity.","Coromandel makes conscious efforts for community development and to enable the prosperity of farmers."
2019,82,"RESEARCH AND DEVELOPMENT",2,"weak","Mention only","SDG 14","initiative","","","The company celebrated World Environment Day with a focus on reducing plastic pollution.","• World Environment Day celebrations with theme ‘Beat Plastic Pollution’"
2019,82,"RESEARCH AND DEVELOPMENT",2,"weak","Mention only","SDG 16","policy","","","The company states its commitment to respecting and upholding human rights.","Coromandel ensures compliance with all applicable laws of the land pertaining to human rights, in order to preserve the rights of all its internal and external stakeholders."
2019,2,"Management Reports Financial Statements",2,"weak","Mention only","SDG 2, SDG 12, SDG 13","aspiration, policy","","","The company emphasizes the importance of sustainable farming practices that are both profitable and environmentally sound.","Sustainable farming ought to be profitable today and tenable tomorrow. Age old farming methods and traditions have to make way to modern agronomy, with demonstrable enhancement in farm yields and farmer profitability."
2019,82,"RESEARCH AND DEVELOPMENT",2,"weak","Mention only","SDG 3, SDG 8, SDG 12","policy","","","Coromandel has an Environment, Quality, Occupational Health and Safety Policy.","• Environment, Quality, Occupational Health and Safety Policy (EQOHS Policy)"
2019,82,"RESEARCH AND DEVELOPMENT",2,"weak","Mention only","SDG 8, SDG 10, SDG 17","policy","","","Coromandel has a Corporate Social Responsibility (CSR) Policy.","• CSR Policy"
2019,24,"22 Annual Report 2018-19 Coromandel International Limited",2,"weak","Mention only","SDG 6, SDG 12","target, aspiration","","","The company identifies resource use efficiency as a key driver in future farming practices, mentioning micro-irrigation and farm mechanization as examples.","Resource use efficiency will be another major factor that will shape future farming practices. The pressure on resources like water and labour are giving way for efficient practices such as micro-irrigation and farm mechanization in the areas of transplanting, harvesting and spraying services."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",1,"weak","Mention only","SDG 8, SDG 10","aspiration","","","Coromandel's CSR aims to contribute to sustainable development and inclusive growth.","Coromandel’s Corporate Social Responsibility focuses on adding value to each of the lives it reaches out to and brings about sustainable development with inclusive growth."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",1,"weak","Mention only","SDG 3, SDG 4, SDG 11","aspiration","","","Coromandel has focused on education, healthcare, and community development.","During the year, Coromandel has continued its commitment to serve the communities and focused on the areas of education, healthcare and community development."
2019,2,"Management Reports Financial Statements",1,"weak","Mention only","SDG 2, SDG 12, SDG 13","aspiration","","","The company acknowledges the challenge of producing enough food sustainably to meet growing population needs and environmental concerns.","Producing enough food — in volume and value — for the growing population and meeting its aspirations while also addressing impending environmental concerns remains a vital challenge."
2019,82,"RESEARCH AND DEVELOPMENT",1,"weak","Mention only","SDG 1, SDG 5, SDG 16, SDG 17","aspiration","","","Coromandel's 'Five Lights' values guide their policies and practices.","• Values and Beliefs, called the ‘Five Lights’"
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",1,"weak","Mention only","SDG 3","aspiration","","","The company prioritizes employee health and safety due to the nature of their operations.","Your Company gives utmost importance to employee’s health and safety, given the sensitive nature of operations that involves handling of chemical products."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",8,"strong","Measurable","SDG 7, SDG 12","kpi, measured_outcome","✓","","Coromandel increased waste heat power generation from 33% to 37.7% in 2019-20.","Power generated from waste heat at Vizag unit amounted to 33% in 2018-19, increased to 37.7% in 2019-20 after successful commissioning of 6.5 MW TG-II during the year"
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",8,"strong","Measurable","SDG 1","policy, target","✓","✓","The government has set minimum support prices for agricultural products at 1.5 times the cost of cultivation.","On the income side, Minimum Support Prices have been set at 1.5 times the cost of cultivation."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",8,"strong","Measurable","SDG 1, SDG 3, SDG 4, SDG 10, SDG 11, SDG 13","initiative, measured_outcome","✓","","The company reports reaching 380,000 people through various CSR initiatives focused on education, health, community development, and disaster relief.","Through our various CSR initiatives under Education, Health, Community Development and Support in Natural Calamity, we have been able to touch the lives of ~3.8 lakhs during 2019-20, and strengthen the sustainability index of communities in and around Coromandel’s sphere of influence."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",8,"strong","Measurable","SDG 8, SDG 12","initiative, measured_outcome","✓","","The Vizag and Ennore units received the CII EHS Excellence Award and a 3-star rating.","Vizag and Ennore units of your Company have won the CII EHS Excellence Award from Southern Region and have been rated 3 stars."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",7,"strong","Measurable","SDG 12","initiative, kpi","✓","","Coromandel reprocesses 7-9% of fertilizer production waste.","Coromandel totally reprocesses off spec material generated during granulation of fertilisers, which constitutes 7-9 % of production volume during 2019-20"
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",7,"strong","In progress","SDG 13","initiative, measured_outcome","✓","","The organic fertiliser business conducted over 40,000 carbon tests in farmers' fields.","In line with its efforts, the organic fertiliser business conducted more than 40,000 carbon tests in the farmer’s fields."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",7,"strong","Measurable","SDG 13","measured_outcome","✓","","The use of molten sulfur at the Visakhapatnam unit reduced fugitive emissions and greenhouse gases by 4,700 MT/year of CO2.","By increased use of Molten sulphur at Visakhapatnam, there is overall reduction in fugitive emission and also reduction in greenhouse gases to the tune of 4,700 MT/yrs of CO2."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",7,"strong","Measurable","SDG 7","initiative, kpi","✓","","The installation of Variable Frequency Drives at the Vizag plant resulted in an energy saving of 3,28,765 kWh per year.","Installation of Variable Frequency Drives in Sep 2019 with an investment of ` 140 Lakhs which resulted in energy saving of 3,28,765 kWH /year units"
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",6,"strong","In progress","SDG 13, SDG 15","initiative, target","✓","","The company planted 20,000 saplings under the Green Visaka initiative, following TERI's improved plantation methodology.","Under the Green Visaka, we have planted 20,000 saplings as per the TERI’s improved plantation methodology at our Vizag site."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",6,"strong","In progress","SDG 13","initiative","✓","✓","The company planted 90,000 saplings in Visakhapatnam city as part of the Green Visakha initiative.","Around 20,000 samplings completed during FY 19-20 and till date total 90,000 saplings planted in Visakhapatnam city under Green Visakha with the help of District Forest Officer & VUDA"
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",5,"moderate","In progress","SDG 8, SDG 9, SDG 12","policy, initiative","","","Coromandel's Sarigam unit prioritizes sourcing from local vendors over imports.","Coromandel’s Sarigam unit is working towards sourcing from local available vendors rather than import sources for better control and to support & strengthen Indian/Local vendors."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",5,"moderate","In progress","SDG 8","policy, initiative","","","Coromandel revised its EHSQ policy in 2019-20 to align with ISO 45001:2018, focusing on safe working conditions and continual improvement.","The policy has been revised in 2019-20, as per ISO 45001: 2018 safety management system, incorporating vision & mission, inclusion of provision of safe working conditions by eliminating hazards and continual improvement etc."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",5,"moderate","In progress","SDG 13, SDG 15","initiative","✓","","The company planted 20,000 saplings as part of a tree plantation initiative.","The Company took up the plantation activity under Green Visaka by planting 20,000 saplings and demonstrated the plantation by adopting TERI’s improved plantation methodology at the Vizag site."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",5,"moderate","In progress","SDG 6, SDG 12","initiative, target","","","The company aims to achieve zero liquid discharge by recycling wastewater in its manufacturing processes.","Manufacturing units recycle and use the waste water in the process itself with an aim to uniformly achieve Zero Liquid Discharge."
2020,41,"Corporate Overview Financial Statements Management Reports 76 77",5,"moderate","Mention only","SDG 1, SDG 8, SDG 10, SDG 17","policy, initiative, kpi","✓","","The company reports spending 2% of its profit after tax on CSR activities.","Total spending on CSR as percentage of PAT (%) 2 %"
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",5,"moderate","In progress","SDG 2, SDG 8","policy, initiative","","","The government has implemented reforms and stimulus measures to support the farming community since the COVID-19 pandemic.","Since the COVID-19, the government has been proactive in ensuring its support for the farming community. Reforms and stimulus related agri-loan subvention, direct marketing, efficient procurement and exemptions to agri-input operations etc. have been initiated."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",5,"moderate","In progress","SDG 8","policy, initiative","","","The company upgraded warehouses with safety features like smoke detectors, fire sprinklers, and CCTV cameras.","All the warehouses were upgraded and modernised by installation of safety features like smoke detectors, fire sprinkler systems, and CCTVs."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",5,"moderate","In progress","SDG 13, SDG 15","initiative","✓","","The Ankleshwar plant developed a green belt covering 1,730 square meters.","At Ankleshwar plant green belt development has been carried out covering 1,730 sq. mtr which is maintained as a garden area and named "" Shanti Niketan""."
2020,5,"Corporate Overview Financial Statements Management Reports 4 5 Annual Report 2019-20 Coromandel International Limited Modern R&D lab for new product development Smart Technology Technology is beginning to play a significant role in shaping the",5,"moderate","In progress","SDG 6, SDG 12","policy, initiative","","","The company implements a zero liquid discharge system, recycling wastewater for internal use.","Considering water as a precious commodity, all the units are completely recycling, and utilizing the wastewaters in the process itself and Zero Liquid Discharge (ZLD) is maintained always."
